_id,arabic_name,description,type,latitude,longitude,directorate,directorate_latitude,directorate_longitude,icon,tags,start_time,end_time,phone_no
151,"بنگه‌هێ گولان یێ چاڤدیریا ساخله‌میا ده‌ستپێكی",Gulan,main,36.8604,42.8367,Duhok,36.942876,42.941769,facility_main.png,Main,"8:00 AM","1:30 PM",NULL
152,"بنگه‌هێ شاریا یێ چاڤدیریا ساخله‌میا ده‌ستپێكی",Sharya,main,36.7898,42.9744,Duhok,36.942876,42.941769,facility_main.png,Main,"8:00 AM","1:30 PM",NULL
153,"بنگه‌هێ ئاشتی یێ چاڤدیریا ساخله‌میا ده‌ستپێكی",Ashtii,main,36.8656,42.8369,Duhok,36.942876,42.941769,facility_main.png,Main,"8:00 AM","1:30 PM",NULL
154,"بنگه‌هێ ته‌ناهی یێ چاڤدیریا ساخله‌میا ده‌ستپێكی",tnahi,main,36.8645,42.9038,Duhok,36.942876,42.941769,facility_main.png,Main,"8:00 AM","1:30 PM",NULL
155,"بنگه‌هێ باتێل یێ چاڤدیریا ساخله‌میا ده‌ستپێكی",Batil,main,36.9242,42.7636,Duhok,36.942876,42.941769,facility_main.png,Main,"8:00 AM","1:30 PM",NULL
156,"بنگه‌هێ دوبان یێ چاڤدیریا ساخله‌میا ده‌ستپێكی",Duban,main,36.8887,42.8122,Duhok,36.942876,42.941769,facility_main.png,Main,"8:00 AM","1:30 PM",NULL
157,"بنگه‌هێ خانكێ یێ چاڤدیریا ساخله‌میا ده‌ستپێكی",Xanke,main,36.8618,42.8037,Duhok,36.942876,42.941769,facility_main.png,Main,"8:00 AM","1:30 PM",NULL
158,"بنگه‌هێ خراب دێم یێ چاڤدیریا ساخله‌میا ده‌ستپێكی","xrap dem",branch,36.9632,42.6452,Duhok,36.942876,42.941769,facility_branch.png,branch,"8:00 AM","1:30 PM",NULL
159,"بنگه‌هێ كیلك یێ چاڤدیریا ساخله‌میا ده‌ستپێكی",Kilik,branch,37.0206,42.5132,Duhok,36.942876,42.941769,facility_branch.png,branch,"8:00 AM","1:30 PM",NULL
160,"بنگه‌هێ ئازادی یێ چاڤدیریا ساخله‌میا ده‌ستپێكی",Azadi,branch,36.7328,42.9333,Duhok,36.942876,42.941769,facility_branch.png,branch,"8:00 AM","1:30 PM",NULL
161,"بنگه‌هێ باوردێ یێ چاڤدیریا ساخله‌میا ده‌ستپێكی",Bawrde,branch,36.8417,42.9348,Duhok,36.942876,42.941769,facility_branch.png,branch,"8:00 AM","1:30 PM",NULL
162,"بنگه‌هێ گرێ گه‌ورێ یێ چاڤدیریا ساخله‌میا ده‌ستپێكی","gre gawre",branch,36.8552,42.7582,Duhok,36.942876,42.941769,facility_branch.png,branch,"8:00 AM","1:30 PM",NULL
163,"بنگه‌هێ موقبلێ یێ چاڤدیریا ساخله‌میا ده‌ستپێكی",Miqbala,branch,36.9239,42.7622,Duhok,36.942876,42.941769,facility_branch.png,branch,"8:00 AM","1:30 PM",NULL
164,"بنگه‌هێ باستكێ یێ چاڤدیریا ساخله‌میا ده‌ستپێكی",Bastagi,branch,36.9561,42.7283,Duhok,36.942876,42.941769,facility_branch.png,branch,"8:00 AM","1:30 PM",NULL
165,"بنگه‌هێ قه‌سارا یێ چاڤدیریا ساخله‌میا ده‌ستپێكی",Qasare,branch,36.8417,42.9348,Duhok,36.942876,42.941769,facility_branch.png,branch,"8:00 AM","1:30 PM",NULL
166,"بنگه‌هێ مه‌رینا یێ چاڤدیریا ساخله‌میا ده‌ستپێكی",marena,branch,36.9712,42.7177,Duhok,36.942876,42.941769,facility_branch.png,branch,"8:00 AM","1:30 PM",NULL
167,"بنگه‌هێ كه‌مپا بالقوس یێ چاڤدیریا ساخله‌میا ده‌ستپێكی","Kamb bel qos",branch,36.9692,42.7201,Duhok,36.942876,42.941769,facility_branch.png,branch,"8:00 AM","1:30 PM",NULL
168,"سه‌نته‌رێ ئه‌ڤرو ستی یێ نوژداریا خێزانی","Afru city",main,36.8518,42.9137,Duhok,36.942876,42.941769,facility_main.png,Main,"8:00 AM","1:30 PM",NULL
169,"بنگه‌هێ جه‌مبور یێ چاڤدیریا ساخله‌میا ده‌ستپێكی",Chambur,branch,36.7883,42.9023,Duhok,36.942876,42.941769,facility_branch.png,branch,"8:00 AM","1:30 PM",NULL
170,"بنگه‌هێ وارڤین ستی یێ چاڤدیریا ساخله‌میا ده‌ستپێكی","Warvin city",branch,36.7148,42.9514,Duhok,36.942876,42.941769,facility_branch.png,branch,"8:00 AM","1:30 PM",NULL
171,"بنگه‌هێ دومێز یێ چاڤدیریا ساخله‌میا ده‌ستپێكی",Dumez,branch,36.8034,42.9184,Duhok,36.942876,42.941769,facility_branch.png,branch,"8:00 AM","1:30 PM",NULL
172,"بنگه‌هێ خابور یێ چاڤدیریا ساخله‌میا ده‌ستپێكی",Xabur,main,37.1411,42.6885,Duhok,36.942876,42.941769,facility_main.png,Main,"8:00 AM","1:30 PM",NULL
173,"بنگه‌هێ ده‌لال یێ چاڤدیریا ساخله‌میا ده‌ستپێكی",Dalal,main,37.1435,42.6756,Duhok,36.942876,42.941769,facility_main.png,Main,"8:00 AM","1:30 PM",NULL
174,"بنگه‌هێ نه‌وروز یێ چاڤدیریا ساخله‌میا ده‌ستپێكی",Newroz,main,37.1549,42.685,Duhok,36.942876,42.941769,facility_main.png,Main,"8:00 AM","1:30 PM",NULL
175,"بنگه‌هێ تلكه‌به‌ر یێ چاڤدیریا ساخله‌میا ده‌ستپێكی",Tlakber,main,37.1669,42.7197,Duhok,36.942876,42.941769,facility_main.png,Main,"8:00 AM","1:30 PM",NULL
176,"بنگه‌هێ ده‌ركار یێ چاڤدیریا ساخله‌میا ده‌ستپێكی",Darkar,main,37.191,42.8546,Duhok,36.942876,42.941769,facility_main.png,Main,"8:00 AM","1:30 PM",NULL
177,"بنگه‌هێ باتیفا یێ چاڤدیریا ساخله‌میا ده‌ستپێكی",Batifa,main,37.1747,43.0117,Duhok,36.942876,42.941769,facility_main.png,Main,"8:00 AM","1:30 PM",NULL
178,"بنگه‌هێ دیره‌بوون یێ چاڤدیریا ساخله‌میا ده‌ستپێكی",Dirywen,main,37.0854,42.4275,Duhok,36.942876,42.941769,facility_main.png,Main,"8:00 AM","1:30 PM",NULL
179,"بنگه‌هێ رزگاری یێ چاڤدیریا ساخله‌میا ده‌ستپێكی",Rzgare,main,37.1383,42.5706,Duhok,36.942876,42.941769,facility_main.png,Main,"8:00 AM","1:30 PM",NULL
180,"بنگه‌هێ بێگوڤا یێ چاڤدیریا ساخله‌میا ده‌ستپێكی",Bekufa,main,37.238,43.1585,Duhok,36.942876,42.941769,facility_main.png,Main,"8:00 AM","1:30 PM",NULL
181,"بنگه‌هێ سه‌عید پێران یێ چاڤدیریا ساخله‌میا ده‌ستپێكی","Sahid Peran",main,37.1431,42.6983,Duhok,36.942876,42.941769,facility_main.png,Main,"8:00 AM","1:30 PM",NULL
182,"بنگه‌هێ ساخله‌میا گومرگا ابراهیم خه‌لیل","gwmrgi braim xalil",main,37.1416,42.5671,Duhok,36.942876,42.941769,facility_main.png,Main,"8:00 AM","1:30 PM",NULL
183,"بنگه‌هێ هیزاوا یێ چاڤدیریا ساخله‌میا ده‌ستپێكی",Hizawa,branch,37.1487,42.6874,Duhok,36.942876,42.941769,facility_branch.png,branch,"8:00 AM","1:30 PM",NULL
184,"بنگه‌هێ بێرسڤێ یێ چاڤدیریا ساخله‌میا ده‌ستپێكی",Bersve,branch,37.191,42.8547,Duhok,36.942876,42.941769,facility_branch.png,branch,"8:00 AM","1:30 PM",NULL
185,"بنگه‌هێ لیڤو یێ چاڤدیریا ساخله‌میا ده‌ستپێكی",Lifu,branch,37.1339,42.7914,Duhok,36.942876,42.941769,facility_branch.png,branch,"8:00 AM","1:30 PM",NULL
186,"بنگه‌هێ بێزهێ یێ چاڤدیریا ساخله‌میا ده‌ستپێكی",Bezhe,branch,37.0593,42.7618,Duhok,36.942876,42.941769,facility_branch.png,branch,"8:00 AM","1:30 PM",NULL
187,"بنگه‌هێ فیشخابور یێ چاڤدیریا ساخله‌میا ده‌ستپێكی",Feshxabur,branch,37.0674,42.3771,Duhok,36.942876,42.941769,facility_branch.png,branch,"8:00 AM","1:30 PM",NULL
188,"بنگه‌هێ شه‌هێدان یێ چاڤدێریا ساخله‌میێ بو خێزانێن شه‌هیدا ل قه‌زا زاخو",Shahidan,branch,37.1442,42.7005,Duhok,36.942876,42.941769,facility_branch.png,branch,"8:00 AM","1:30 PM",NULL
189,"بنگه‌هێ كوبانێ یێ چاڤدێریا ساخله‌میا ده‌ستپێكێ ل كه‌مپا ئاكرێ یا په‌نابه‌را","kobane-akre camp",branch,36.7352,43.8794,Duhok,36.942876,42.941769,facility_branch.png,branch,"8:00 AM","1:30 PM",NULL
190,"بنگه‌هێ چاڤدێریا ساخله‌میا ده‌ستپێكێ ل كه‌مپا ماملیان یا ئاوارا","mamlyan camp",branch,36.6769,43.7756,Duhok,36.942876,42.941769,facility_branch.png,branch,"8:00 AM","1:30 PM",NULL
191,"بنگه‌هێ چاڤدێریا ساخله‌میا ده‌ستپێكێ ل كه‌مپا داوودیه‌ یا ئاوارا","dawdya camp",branch,37.0903,43.241,Duhok,36.942876,42.941769,facility_branch.png,branch,"8:00 AM","1:30 PM",NULL
192,"بنگه‌هێ چاڤدێریا ساخله‌میا ده‌ستپێكێ ل كه‌مپا گه‌ویلان یا په‌نابه‌را","gawilan camp",branch,36.5113,43.5579,Duhok,36.942876,42.941769,facility_branch.png,branch,"8:00 AM","1:30 PM",NULL
193,"بنگه‌هێ ئاراس یێ چاڤدێریا ساخله‌میا ده‌ستپێكێ",aras,branch,36.5932,43.5199,Duhok,36.942876,42.941769,facility_branch.png,branch,"8:00 AM","1:30 PM",NULL
194,"بنگه‌هێ چاڤدێریا ساخله‌میا ده‌ستپێكێ ل كه‌مپا ئیسیان یا ئاوارا","esyan camp",branch,36.719,43.2833,Duhok,36.942876,42.941769,facility_branch.png,branch,"8:00 AM","1:30 PM",NULL
